PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2016-5-1,27,21,15,9,3,-1,22,19,15,,,,10.0,7.0,4.0,4,2,,0.0,,,-1
2016-5-2,26,21,16,7,0,-2,23,16,11,,,,10.0,6.6,4.0,7,5,,0.0,,,-1
2016-5-3,22,19,15,8,4,-1,48,31,17,,,,10.0,5.5,4.0,7,4,,0.0,8,,-1
2016-5-4,17,15,13,8,6,4,62,47,40,,,,10.0,7.0,4.0,13,9,,0.0,8,,-1
2016-5-5,20,16,11,11,7,3,57,46,38,,,,10.0,7.0,4.0,11,7,,0.0,,,-1
2016-5-6,22,18,13,12,9,3,63,46,33,,,,10.0,6.3,4.0,11,6,,0.0,,,-1
2016-5-7,24,19,14,13,11,9,57,47,38,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2016-5-8,26,21,16,13,11,9,45,40,34,,,,10.0,6.6,4.0,7,4,,0.0,,,-1
2016-5-9,27,22,17,14,10,4,41,34,21,,,,10.0,7.0,4.0,7,4,,0.0,,Thunderstorm,-1
2016-5-10,26,22,18,14,8,5,39,33,27,,,,10.0,5.5,4.0,7,2,,3.0,8,,-1
2016-5-11,21,18,14,14,11,6,68,57,36,,,,10.0,7.0,4.0,7,1,,0.0,,,-1
2016-5-12,24,18,13,15,12,10,74,60,42,,,,10.0,6.6,4.0,7,1,,2.0,,,-1
2016-5-13,25,20,14,12,8,4,74,47,29,,,,10.0,7.4,4.0,13,4,,15.0,8,,-1
2016-5-14,22,18,13,12,7,2,49,43,34,,,,10.0,6.4,4.0,17,7,,3.0,,,-1
2016-5-15,24,15,14,10,8,4,53,44,38,,,,10.0,6.0,4.0,4,3,,0.0,,,-1
2016-5-16,25,19,13,12,8,4,42,36,29,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2016-5-17,27,20,14,11,7,5,36,30,25,,,,10.0,7.4,4.0,7,6,,0.0,,,-1
2016-5-18,29,24,18,12,7,3,32,25,20,,,,10.0,6.6,4.0,7,4,,0.0,,,-1
2016-5-19,29,24,18,10,7,1,28,23,19,,,,10.0,7.0,4.0,7,3,,0.0,,,-1
2016-5-20,29,24,19,12,9,4,32,26,21,,,,10.0,7.0,4.0,4,2,,0.0,,,-1
2016-5-21,30,24,19,15,10,5,36,28,24,,,,10.0,6.6,4.0,4,2,,0.0,,,-1
2016-5-22,31,26,20,14,10,4,49,29,19,,,,10.0,7.0,4.0,7,2,,0.0,,,-1
2016-5-23,25,18,11,13,12,11,88,62,35,,,,10.0,6.6,4.0,37,9,,7.0,8,Rain-Thunderstorm,-1
2016-5-24,20,15,10,13,9,7,92,68,43,,,,10.0,6.3,4.0,15,9,,80.0,8,Rain-Thunderstorm,-1
2016-5-25,21,15,9,14,12,8,81,66,54,,,,10.0,7.0,4.0,11,5,,1.0,,Rain,-1
2016-5-26,24,18,12,13,12,10,80,56,42,,,,10.0,6.6,4.0,0,0,,0.0,,,-1
2016-5-27,25,20,14,14,12,10,54,47,39,,,,10.0,6.6,4.0,4,0,,0.0,,,-1
2016-5-28,26,21,16,14,11,9,49,41,30,,,,10.0,6.6,4.0,0,0,,0.0,,,-1
2016-5-29,26,22,17,14,11,9,48,44,38,,,,10.0,6.3,4.0,13,2,,0.0,,,-1
2016-5-30,23,19,15,14,10,8,53,45,40,,,,10.0,7.0,4.0,13,7,,4.0,,,-1
2016-5-31,25,20,15,14,11,7,49,45,39,,,,10.0,7.0,4.0,7,3,,0.0,,,-1
